ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
mand1415-1-100-1,,mand1415,1-100,shìjiè,shìjiè,ʂ ʅ ⁵¹ + tɕ j ə ⁵¹,,yuhsiaojung2021,,,^ shì jiè$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),世界;世界
mand1415-1-210-1,,mand1415,1-210,dìqiú,dìqiú,t i ⁵¹ + tɕʰ j ɔu ³⁵,the planet,yuhsiaojung2021,,,^ dì qiú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),地球;地球
mand1415-1-210-2,,mand1415,1-210,lùdì,lùdì,l u ⁵¹ + t i ⁵¹,land,yuhsiaojung2021,,,^ lù dì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),陆地;陸地
mand1415-1-212-1,,mand1415,1-212,tǔdì,tǔdì,tʰ u ²¹⁴ + t i ⁵¹,,yuhsiaojung2021,,,^ tǔ dì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),土地;土地
mand1415-1-213-1,,mand1415,1-213,huīchén,huīchén,x w əi ⁵⁵ + ʈʂ ə n ³⁵,,yuhsiaojung2021,,,^ huī chén$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),灰尘;灰塵
mand1415-1-214-1,,mand1415,1-214,ní,ní,n i ³⁵,,yuhsiaojung2021,,,^ ní$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),泥;泥
mand1415-1-215-1,,mand1415,1-215,shā,shā,ʂ a ⁵⁵,,yuhsiaojung2021,,,^ shā$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),沙;沙
mand1415-1-220-1,,mand1415,1-220,shān,shān,ʂ a n ⁵⁵,,yuhsiaojung2021,,,^ shān$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),山;山
mand1415-1-222-1,,mand1415,1-222,xuányá,xuányá,ɕ ɥ ɛ n ³⁵ + j a ³⁵,,yuhsiaojung2021,,,^ xuán yá$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),悬崖;懸崖
mand1415-1-230-1,,mand1415,1-230,píngyuán,píngyuán,pʰ i ŋ ³⁵ + ɥ ɛ n ³⁵,plain,yuhsiaojung2021,,,^ píng yuán$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),平原;平原
mand1415-1-230-2,,mand1415,1-230,tiándì,tiándì,tʰ j ɛ n ³⁵ + t i ⁵¹,field,yuhsiaojung2021,,,^ tián dì$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),田地;田地
mand1415-1-240-1,,mand1415,1-240,shāngǔ,shāngǔ,ʂ a n ⁵⁵ + k u ²¹⁴,,yuhsiaojung2021,,,^ shāngǔ $,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),山谷;山谷
mand1415-1-250-1,,mand1415,1-250,dǎo,dǎo,t au ²¹⁴,,yuhsiaojung2021,,,^ dǎo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),岛;島
mand1415-1-260-1,,mand1415,1-260,dàlù,dàlù,t a ⁵¹ + l u ⁵¹,,yuhsiaojung2021,,,^ dà lù$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),大陆;大陸
mand1415-1-270-1,,mand1415,1-270,hǎibīn,hǎibīn,x ai ²¹⁴ + p i n ⁵⁵,sea shore,yuhsiaojung2021,,,^ hǎi bīn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),海滨;海濱
mand1415-1-270-2,,mand1415,1-270,húbīn,húbīn,x u ³⁵ + p i n ⁵⁵,lake shore,yuhsiaojung2021,,,^ hú bīn$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),湖滨;湖濱
mand1415-1-280-1,,mand1415,1-280,dòngxué,dòngxué,t ʊ ŋ ⁵¹ + ɕ ɥ ə ³⁵,,yuhsiaojung2021,,,^ dòng xué$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),洞穴;洞穴
mand1415-1-310-1,,mand1415,1-310,shuǐ,shuǐ,ʂ w əi ²¹⁴,,yuhsiaojung2021,,,^ shuǐ$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),水;水
mand1415-1-320-1,,mand1415,1-320,hǎi,hǎi,x ai ²¹⁴,,yuhsiaojung2021,,,^ hǎi$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),海;海
mand1415-1-322-1,,mand1415,1-322,píngjìng,píngjìng,pʰ i ŋ ³⁵ + tɕ i ŋ ⁵¹,,yuhsiaojung2021,,,^ píng jìng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),平静;平靜
mand1415-1-323-1,,mand1415,1-323,bōtāoxiōngyǒng,bōtāoxiōngyǒng,p w o ⁵⁵ + tʰ au ⁵⁵ + ɕ j ʊ ŋ ⁵⁵ + j ʊ ŋ ²¹⁴,,yuhsiaojung2021,,,^ bō tāo xiōng yǒng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),波涛汹涌;波濤洶湧
mand1415-1-324-1,,mand1415,1-324,pàomò,pàomò,pʰ au ⁵¹ + m w ɔ ⁵¹,,yuhsiaojung2021,,,^ pào mò$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),泡沫;泡沫
mand1415-1-329-1,,mand1415,1-329,hǎiyáng,hǎiyáng,x ai ²¹⁴ + j a ŋ ³⁵,,yuhsiaojung2021,,,^ hǎi yáng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),海洋;海洋
mand1415-1-330-1,,mand1415,1-330,hú,hú,x u ³⁵,,yuhsiaojung2021,,,^ hú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),湖;湖
mand1415-1-340-1,,mand1415,1-340,wān,wān,w a n ⁵⁵,,yuhsiaojung2021,,,^ wān$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),湾;灣
mand1415-1-341-1,,mand1415,1-341,huánjiāohú,huánjiāohú,x w a n ³⁵ + tɕ j au ⁵⁵ + x u ³⁵,,yuhsiaojung2021,,,^ huán jiāo hú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),环礁湖;環礁湖
mand1415-1-342-1,,mand1415,1-342,jiāo,jiāo,tɕ j au ⁵⁵,,yuhsiaojung2021,,,^ jiāo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),礁;礁
mand1415-1-343-1,,mand1415,1-343,jiǎjiǎo,jiǎjiǎo,tɕ j a ²¹⁴ + tɕ j au ²¹⁴,,yuhsiaojung2021,,,^ jiǎ jiǎo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),岬角;岬角
mand1415-1-350-1,,mand1415,1-350,bōlàng,bōlàng,p w o ⁵⁵ + l a ŋ ⁵¹,,yuhsiaojung2021,,,^ bō làng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),波浪;波浪
mand1415-1-352-1,,mand1415,1-352,cháo,cháo,ʈʂ au ³⁵,,yuhsiaojung2021,,,^ cháo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),潮;潮
mand1415-1-353-1,,mand1415,1-353,dīcháo,dīcháo,t i ⁵⁵ + ʈʂ au ³⁵,,yuhsiaojung2021,,,^ dī cháo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),低潮;低潮
mand1415-1-354-1,,mand1415,1-354,gāocháo,gāocháo,k au ⁵⁵ + ʈʂ au ³⁵,,yuhsiaojung2021,,,^ gāo cháo$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),高潮;高潮
mand1415-1-360-1,,mand1415,1-360,hé,hé,x ə ³⁵,river,yuhsiaojung2021,,,^ hé$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),河;河
mand1415-1-360-2,,mand1415,1-360,xīliú,xīliú,ɕ i ⁵⁵ + l j ɔu ³⁵,stream,yuhsiaojung2021,,,^ xī liú$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),溪流;溪流
mand1415-1-362-1,,mand1415,1-362,xuánwō,xuánwō,ɕ ɥ ɛ n ³⁵ + w ɔ ⁵⁵,Simplified also 漩涡,yuhsiaojung2021,,,^ xuán wō$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),旋涡;漩渦
mand1415-1-370-1,,mand1415,1-370,quán,quán,tɕʰ ɥ ɛ n ³⁵,spring,yuhsiaojung2021,,,^ quán$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),泉;泉
mand1415-1-370-2,,mand1415,1-370,jǐng,jǐng,tɕ i ŋ ²¹⁴,well,yuhsiaojung2021,,,^ jǐng$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),井;井
mand1415-1-380-1,,mand1415,1-380,zhǎozé,zhǎozé,ʈʂ au ²¹⁴ + ts ə ³⁵,,yuhsiaojung2021,,,^ zhǎo zé$,default,Pinyin;StandOrth (Simplified);StandOrth (Traditional),沼泽;沼澤
