Grapheme	IPA
shāngǔ	ʂ a n ⁵⁵ + k u ²¹⁴
’àn	+ a n ⁵¹
jìnǚ	tɕ i ⁵¹ + n y ²¹⁴
zěnyàng	ts ə n ²¹⁴ j a ŋ ⁵¹
nǚrén	n y ²¹⁴ + ʐ ə n ³⁵
tánɡjiěmèi	t a ŋ ³⁵ + tɕ j ɛ ²¹⁴ + m əi ⁵¹
lǘ	l y ³⁵
nǚ_	n y ²¹⁴ +
’ér	ə˞ ³⁵
nǚ$	n y ²¹⁴
nǚ	n y ²¹⁴ +
lǜ$	l y ⁵¹
gūnong	k u ⁵⁵ + n ʊ ŋ ⁰
shénme	ʂ ə n ³⁵ + m ə ⁰
wànguānjié	w a n ⁵¹ + g w a n ⁵⁵ + tɕ j ɛ ³⁵
shǒuzhījia	ʂ ou ²¹⁴ + ʈʐ ʅ ⁵⁵ + tɕ j a ⁰
késou	kʰ ə ³⁵ + s ou ⁰
guòlǜ	k w ɔ ⁵¹ + l y ⁵¹
jiānguǒ	tɕ j ɛ n ⁵⁵ + k w ɔ ²¹⁴
dìfang	t i ⁵¹ + f a ŋ ⁰
zěnmeyàng	ts ə n ²¹⁴ + m ə ⁰ + j a ŋ ⁵¹
shénme_shíhou	ʂ ə n ³⁵ + m ə ⁰ + ʂ ʅ ³⁵ + x ou ⁰
nǎr	n a˞ ²¹⁴
_	+
āi_	ai ⁵⁵ +
ái_	ai ³⁵ +
ǎi_	ai ²¹⁴ +
ài_	ai ⁵¹ +
ān_	a n ⁵⁵ +
án_	a n ³⁵ +
ǎn_	a n ²¹⁴ +
àn_	a n ⁵¹ +
āng_	a ŋ ⁵⁵ +
áng_	a ŋ ³⁵ +
ǎng_	a ŋ ²¹⁴ +
àng_	a ŋ ⁵¹ +
āo_	au ⁵⁵ +
áo_	au ³⁵ +
ǎo_	au ²¹⁴ +
ào_	au ⁵¹ +
ba_	p a ⁰ +
bā_	p a ⁵⁵ +
bá_	p a ³⁵ +
bǎ_	p a ²¹⁴ +
bà_	p a ⁵¹ +
bāi_	p ai ⁵⁵ +
bái_	p ai ³⁵ +
bǎi_	p ai ²¹⁴ +
bài_	p ai ⁵¹ +
bān_	p a n ⁵⁵ +
bán_	p a n ³⁵ +
bǎn_	p a n ²¹⁴ +
bàn_	p a n ⁵¹ +
bāng_	p a ŋ ⁵⁵ +
báng_	p a ŋ ³⁵ +
bǎng_	p a ŋ ²¹⁴ +
bàng_	p a ŋ ⁵¹ +
bāo_	p au ⁵⁵ +
báo_	p au ³⁵ +
bǎo_	p au ²¹⁴ +
bào_	p au ⁵¹ +
bēi_	p ei ⁵⁵ +
béi_	p ei ³⁵ +
běi_	p ei ²¹⁴ +
bèi_	p ei ⁵¹ +
bēn_	p e n ⁵⁵ +
bén_	p e n ³⁵ +
běn_	p e n ²¹⁴ +
bèn_	p e n ⁵¹ +
biān_	p j ɛ n ⁵⁵ +
bián_	p j ɛ n ³⁵ +
biǎn_	p j ɛ n ²¹⁴ +
biàn_	p j ɛ n ⁵¹ +
biāo_	p j au ⁵⁵ +
biáo_	p j au ³⁵ +
biǎo_	p j au ²¹⁴ +
biào_	p j au ⁵¹ +
biē_	p j ɛ ⁵⁵ +
bié_	p j ɛ ³⁵ +
biě_	p j ɛ ²¹⁴ +
biè_	p j ɛ ⁵¹ +
bī_	p i ⁵⁵ +
bí_	p i ³⁵ +
bǐ_	p i ²¹⁴ +
bì_	p i ⁵¹ +
bīn_	p i n ⁵⁵ +
bín_	p i n ³⁵ +
bǐn_	p i n ²¹⁴ +
bìn_	p i n ⁵¹ +
bīng_	p i ŋ ⁵⁵ +
bíng_	p i ŋ ³⁵ +
bǐng_	p i ŋ ²¹⁴ +
bìng_	p i ŋ ⁵¹ +
bo_	p w o ⁰ +
bō_	p w o ⁵⁵ +
bó_	p w o ³⁵ +
bǒ_	p w o ²¹⁴ +
bò_	p w o ⁵¹ +
bū_	p u ⁵⁵ +
bú_	p u ³⁵ +
bǔ_	p u ²¹⁴ +
bù_	p u ⁵¹ +
cā_	tsʰ a ⁵⁵ +
cá_	tsʰ a ³⁵ +
cǎ_	tsʰ a ²¹⁴ +
cà_	tsʰ a ⁵¹ +
cāi_	tsʰ ai ⁵⁵ +
cái_	tsʰ ai ³⁵ +
cǎi_	tsʰ ai ²¹⁴ +
cài_	tsʰ ai ⁵¹ +
cān_	tsʰ a n ⁵⁵ +
cán_	tsʰ a n ³⁵ +
cǎn_	tsʰ a n ²¹⁴ +
càn_	tsʰ a n ⁵¹ +
cāng_	tsʰ a ŋ ⁵⁵ +
cáng_	tsʰ a ŋ ³⁵ +
cǎng_	tsʰ a ŋ ²¹⁴ +
càng_	tsʰ a ŋ ⁵¹ +
cāo_	tsʰ au ⁵⁵ +
cáo_	tsʰ au ³⁵ +
cǎo_	tsʰ au ²¹⁴ +
cào_	tsʰ au ⁵¹ +
cē_	tsʰ ə ⁵⁵ +
cé_	tsʰ ə ³⁵ +
cě_	tsʰ ə ²¹⁴ +
cè_	tsʰ ə ⁵¹ +
chā_	ʈʂʰ a ⁵⁵ +
chá_	ʈʂʰ a ³⁵ +
chǎ_	ʈʂʰ a ²¹⁴ +
chà_	ʈʂʰ a ⁵¹ +
chāi_	ʈʂʰ ai ⁵⁵ +
chái_	ʈʂʰ ai ³⁵ +
chǎi_	ʈʂʰ ai ²¹⁴ +
chài_	ʈʂʰ ai ⁵¹ +
chān_	ʈʂʰ a n ⁵⁵ +
chán_	ʈʂʰ a n ³⁵ +
chǎn_	ʈʂʰ a n ²¹⁴ +
chàn_	ʈʂʰ a n ⁵¹ +
chāng_	ʈʂ a ŋ ⁵⁵ +
cháng_	ʈʂ a ŋ ³⁵ +
chǎng_	ʈʂ a ŋ ²¹⁴ +
chàng_	ʈʂ a ŋ ⁵¹ +
chāo_	ʈʂ au ⁵⁵ +
cháo_	ʈʂ au ³⁵ +
chǎo_	ʈʂ au ²¹⁴ +
chào_	ʈʂ au ⁵¹ +
chen_	ʈʂ ə n ⁰ +
chē_	ʈʂ ə ⁵⁵ +
ché_	ʈʂ ə ³⁵ +
chě_	ʈʂ ə ²¹⁴ +
chè_	ʈʂ ə ⁵¹ +
chēn_	ʈʂ ə n ⁵⁵ +
chén_	ʈʂ ə n ³⁵ +
chěn_	ʈʂ ə n ²¹⁴ +
chèn_	ʈʂ ə n ⁵¹ +
chēng_	ʈʂ ə ŋ ⁵⁵ +
chéng_	ʈʂ ə ŋ ³⁵ +
chěng_	ʈʂ ə ŋ ²¹⁴ +
chèng_	ʈʂ ə ŋ ⁵¹ +
chī_	ʈʂ ʅ ⁵⁵ +
chí_	ʈʂ ʅ ³⁵ +
chǐ_	ʈʂ ʅ ²¹⁴ +
chì_	ʈʂ ʅ ⁵¹ +
chōng_	ʈʂ ʊ ŋ ⁵⁵ +
chóng_	ʈʂ ʊ ŋ ³⁵ +
chǒng_	ʈʂ ʊ ŋ ²¹⁴ +
chòng_	ʈʂ ʊ ŋ ⁵¹ +
chōu_	ʈʂ ɔu ⁵⁵ +
chóu_	ʈʂ ɔu ³⁵ +
chǒu_	ʈʂ ɔu ²¹⁴ +
chòu_	ʈʂ ɔu ⁵¹ +
chu_	ʈʂ u ⁰ +
chuān_	ʈʂ w a n ⁵⁵ +
chuán_	ʈʂ w a n ³⁵ +
chuǎn_	ʈʂ w a n ²¹⁴ +
chuàn_	ʈʂ w a n ⁵¹ +
chuāng_	ʈʂ w a ŋ ⁵⁵ +
chuáng_	ʈʂ w a ŋ ³⁵ +
chuǎng_	ʈʂ w a ŋ ²¹⁴ +
chuàng_	ʈʂ w a ŋ ⁵¹ +
chuī_	ʈʂ w əi ⁵⁵ +
chuí_	ʈʂ w əi ³⁵ +
chuǐ_	ʈʂ w əi ²¹⁴ +
chuì_	ʈʂ w əi ⁵¹ +
chū_	ʈʂ u ⁵⁵ +
chú_	ʈʂ u ³⁵ +
chǔ_	ʈʂ u ²¹⁴ +
chù_	ʈʂ u ⁵¹ +
chūn_	ʈʂ u n ⁵⁵ +
chún_	ʈʂ u n ³⁵ +
chǔn_	ʈʂ u n ²¹⁴ +
chùn_	ʈʂ u n ⁵¹ +
cī_	tsʰ ɿ ⁵⁵ +
cí_	tsʰ ɿ ³⁵ +
cǐ_	tsʰ ɿ ²¹⁴ +
cì_	tsʰ ɿ ⁵¹ +
cōng_	tsʰ ʊ ŋ ⁵⁵ +
cóng_	tsʰ ʊ ŋ ³⁵ +
cǒng_	tsʰ ʊ ŋ ²¹⁴ +
còng_	tsʰ ʊ ŋ ⁵¹ +
cuō_	tsʰ w ɔ ⁵⁵ +
cuó_	tsʰ w ɔ ³⁵ +
cuǒ_	tsʰ w ɔ ²¹⁴ +
cuò_	tsʰ w ɔ ⁵¹ +
cū_	tsʰ u ⁵⁵ +
cú_	tsʰ u ³⁵ +
cǔ_	tsʰ u ²¹⁴ +
cù_	tsʰ u ⁵¹ +
cūn_	tsʰ u n ⁵⁵ +
cún_	tsʰ u n ³⁵ +
cǔn_	tsʰ u n ²¹⁴ +
cùn_	tsʰ u n ⁵¹ +
dā_	t a ⁵⁵ +
dá_	t a ³⁵ +
dǎ_	t a ²¹⁴ +
dà_	t a ⁵¹ +
dāi_	t ai ⁵⁵ +
dái_	t ai ³⁵ +
dǎi_	t ai ²¹⁴ +
dài_	t ai ⁵¹ +
dān_	t a n ⁵⁵ +
dán_	t a n ³⁵ +
dǎn_	t a n ²¹⁴ +
dàn_	t a n ⁵¹ +
dāo_	t au ⁵⁵ +
dáo_	t au ³⁵ +
dǎo_	t au ²¹⁴ +
dào_	t au ⁵¹ +
de_	t ə ⁰ +
dē_	t ə ⁵⁵ +
dé_	t ə ³⁵ +
dě_	t ə ²¹⁴ +
dè_	t ə ⁵¹ +
dēng_	t ə ŋ ⁵⁵ +
déng_	t ə ŋ ³⁵ +
děng_	t ə ŋ ²¹⁴ +
dèng_	t ə ŋ ⁵¹ +
di_	t i ⁰ +
diān_	t j ɛ n ⁵⁵ +
dián_	t j ɛ n ³⁵ +
diǎn_	t j ɛ n ²¹⁴ +
diàn_	t j ɛ n ⁵¹ +
diāo_	t j au ⁵⁵ +
diáo_	t j au ³⁵ +
diǎo_	t j au ²¹⁴ +
diào_	t j au ⁵¹ +
diē_	t j ə ⁵⁵ +
dié_	t j ə ³⁵ +
diě_	t j ə ²¹⁴ +
diè_	t j ə ⁵¹ +
dī_	t i ⁵⁵ +
dí_	t i ³⁵ +
dǐ_	t i ²¹⁴ +
dì_	t i ⁵¹ +
dīng_	t i ŋ ⁵⁵ +
díng_	t i ŋ ³⁵ +
dǐng_	t i ŋ ²¹⁴ +
dìng_	t i ŋ ⁵¹ +
dōng_	t ʊ ŋ ⁵⁵ +
dóng_	t ʊ ŋ ³⁵ +
dǒng_	t ʊ ŋ ²¹⁴ +
dòng_	t ʊ ŋ ⁵¹ +
dōu_	t ɔu ⁵⁵ +
dóu_	t ɔu ³⁵ +
dǒu_	t ɔu ²¹⁴ +
dòu_	t ɔu ⁵¹ +
duān_	t w a n ⁵⁵ +
duán_	t w a n ³⁵ +
duǎn_	t w a n ²¹⁴ +
duàn_	t w a n ⁵¹ +
duī_	t w əi ⁵⁵ +
duí_	t w əi ³⁵ +
duǐ_	t w əi ²¹⁴ +
duì_	t w əi ⁵¹ +
duo_	t w ɔ ⁰ +
duō_	t w ɔ ⁵⁵ +
duó_	t w ɔ ³⁵ +
duǒ_	t w ɔ ²¹⁴ +
duò_	t w ɔ ⁵¹ +
dū_	t u ⁵⁵ +
dú_	t u ³⁵ +
dǔ_	t u ²¹⁴ +
dù_	t u ⁵¹ +
dūn_	t ʊ n ⁵⁵ +
dún_	t ʊ n ³⁵ +
dǔn_	t ʊ n ²¹⁴ +
dùn_	t ʊ n ⁵¹ +
e_	ə ⁰ +
ē_	ə ⁵⁵ +
é_	ə ³⁵ +
ě_	ə ²¹⁴ +
è_	ə ⁵¹ +
ēr_	ɚ ⁵⁵ +
ér_	ɚ ³⁵ +
ěr_	ɚ ²¹⁴ +
èr_	ɚ ⁵¹ +
fa_	f a ⁰ +
fā_	f a ⁵⁵ +
fá_	f a ³⁵ +
fǎ_	f a ²¹⁴ +
fà_	f a ⁵¹ +
fān_	f a n ⁵⁵ +
fán_	f a n ³⁵ +
fǎn_	f a n ²¹⁴ +
fàn_	f a n ⁵¹ +
fāng_	f a ŋ ⁵⁵ +
fáng_	f a ŋ ³⁵ +
fǎng_	f a ŋ ²¹⁴ +
fàng_	f a ŋ ⁵¹ +
fen_	f ə n ⁰ +
feng_	f ə ŋ ⁰ +
fēi_	f əi ⁵⁵ +
féi_	f əi ³⁵ +
fěi_	f əi ²¹⁴ +
fèi_	f əi ⁵¹ +
fēn_	f ə n ⁵⁵ +
fén_	f ə n ³⁵ +
fěn_	f ə n ²¹⁴ +
